IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
89.213.239.190,48832,443,TRUE,HKG,Asia Pacific,Hong Kong,16 ms,40357 kB/s
89.213.219.224,8443,443,TRUE,HKG,Asia Pacific,Hong Kong,16 ms,40357 kB/s
58.176.95.46,443,443,TRUE,HKG,Asia Pacific,Hong Kong,16 ms,40357 kB/s
5.180.98.146,22827,443,TRUE,HKG,Asia Pacific,Hong Kong,16 ms,40357 kB/s
47.89.54.189,443,443,TRUE,HKG,Asia Pacific,Hong Kong,16 ms,40357 kB/s
46.3.110.5,27361,443,TRUE,HKG,Asia Pacific,Hong Kong,16 ms,40357 kB/s
46.3.110.5,36791,443,TRUE,HKG,Asia Pacific,Hong Kong,16 ms,40357 kB/s
46.3.110.5,52386,443,TRUE,HKG,Asia Pacific,Hong Kong,16 ms,40357 kB/s
46.3.110.5,19515,443,TRUE,HKG,Asia Pacific,Hong Kong,16 ms,40357 kB/s
46.3.108.134,6812,443,TRUE,HKG,Asia Pacific,Hong Kong,16 ms,40357 kB/s
46.3.107.99,10716,443,TRUE,HKG,Asia Pacific,Hong Kong,16 ms,40357 kB/s
46.3.107.123,14559,443,TRUE,HKG,Asia Pacific,Hong Kong,16 ms,40357 kB/s
45.207.11.69,8899,443,TRUE,HKG,Asia Pacific,Hong Kong,16 ms,40357 kB/s
43.159.196.17,443,443,TRUE,HKG,Asia Pacific,Hong Kong,16 ms,40357 kB/s
38.6.167.31,12666,443,TRUE,HKG,Asia Pacific,Hong Kong,16 ms,40357 kB/s
38.207.142.7,42612,443,TRUE,HKG,Asia Pacific,Hong Kong,16 ms,40357 kB/s
223.222.13.132,30491,443,TRUE,HKG,Asia Pacific,Hong Kong,16 ms,40357 kB/s
221.127.50.207,443,443,TRUE,HKG,Asia Pacific,Hong Kong,16 ms,40357 kB/s
219.76.13.183,443,443,TRUE,HKG,Asia Pacific,Hong Kong,16 ms,40357 kB/s
219.76.13.183,443,443,TRUE,HKG,Asia Pacific,Hong Kong,16 ms,40357 kB/s
219.76.13.181,443,443,TRUE,HKG,Asia Pacific,Hong Kong,16 ms,40357 kB/s
219.76.13.177,443,443,TRUE,HKG,Asia Pacific,Hong Kong,16 ms,40357 kB/s
219.76.13.177,443,443,TRUE,HKG,Asia Pacific,Hong Kong,16 ms,40357 kB/s
202.81.231.150,443,443,TRUE,HKG,Asia Pacific,Hong Kong,16 ms,40357 kB/s
202.181.27.218,14526,443,TRUE,HKG,Asia Pacific,Hong Kong,16 ms,40357 kB/s
178.253.32.30,52126,443,TRUE,HKG,Asia Pacific,Hong Kong,16 ms,40357 kB/s
178.173.249.23,55737,443,TRUE,HKG,Asia Pacific,Hong Kong,16 ms,40357 kB/s
154.9.246.2,28301,443,TRUE,HKG,Asia Pacific,Hong Kong,16 ms,40357 kB/s
154.9.246.174,47184,443,TRUE,HKG,Asia Pacific,Hong Kong,16 ms,40357 kB/s
154.9.246.174,54707,443,TRUE,HKG,Asia Pacific,Hong Kong,16 ms,40357 kB/s
154.9.246.174,59473,443,TRUE,HKG,Asia Pacific,Hong Kong,16 ms,40357 kB/s
154.9.246.174,11404,443,TRUE,HKG,Asia Pacific,Hong Kong,16 ms,40357 kB/s
154.9.246.174,56111,443,TRUE,HKG,Asia Pacific,Hong Kong,16 ms,40357 kB/s
152.32.240.153,34237,2096,TRUE,HKG,Asia Pacific,Hong Kong,16 ms,40357 kB/s
141.11.91.177,40110,443,TRUE,HKG,Asia Pacific,Hong Kong,16 ms,40357 kB/s
141.11.77.234,31173,8443,TRUE,HKG,Asia Pacific,Hong Kong,16 ms,40357 kB/s
141.11.77.234,31143,8443,TRUE,HKG,Asia Pacific,Hong Kong,16 ms,40357 kB/s
141.11.77.234,31123,8443,TRUE,HKG,Asia Pacific,Hong Kong,16 ms,40357 kB/s
141.11.77.234,31176,8443,TRUE,HKG,Asia Pacific,Hong Kong,16 ms,40357 kB/s
141.11.77.234,31165,8443,TRUE,HKG,Asia Pacific,Hong Kong,16 ms,40357 kB/s
141.11.216.175,443,443,TRUE,HKG,Asia Pacific,Hong Kong,16 ms,40357 kB/s
141.11.216.141,50312,443,TRUE,HKG,Asia Pacific,Hong Kong,16 ms,40357 kB/s
138.19.30.55,443,443,TRUE,HKG,Asia Pacific,Hong Kong,16 ms,40357 kB/s
138.19.30.55,443,443,TRUE,HKG,Asia Pacific,Hong Kong,16 ms,40357 kB/s
138.19.30.55,443,443,TRUE,HKG,Asia Pacific,Hong Kong,16 ms,40357 kB/s
103.28.68.198,36567,443,TRUE,HKG,Asia Pacific,Hong Kong,16 ms,40357 kB/s
103.220.72.40,443,443,TRUE,HKG,Asia Pacific,Hong Kong,16 ms,40357 kB/s
103.220.72.40,443,443,TRUE,HKG,Asia Pacific,Hong Kong,16 ms,40357 kB/s
103.220.72.40,443,443,TRUE,HKG,Asia Pacific,Hong Kong,16 ms,40357 kB/s
103.175.14.144,443,443,TRUE,HKG,Asia Pacific,Hong Kong,16 ms,40357 kB/s
103.127.248.51,443,443,TRUE,HKG,Asia Pacific,Hong Kong,16 ms,40357 kB/s
103.115.40.133,36332,443,TRUE,HKG,Asia Pacific,Hong Kong,16 ms,40357 kB/s
102.129.195.189,50587,443,TRUE,HKG,Asia Pacific,Hong Kong,16 ms,40357 kB/s
